,Disclosure_Date,Country_WIPO_ID,Actually_File_Date,Is_Priority,Lawfirm,Attorney,Number_of_Inventors,Application_Type,Lead_Inventor,Division_Department,Primary_Division,Owners,Ability_of_investigator_to_continue_research,Ability_to_advance_the_project_outside_the_lab,Compelling_nature_of_data,Detectability_of_infringement_and_enforceability,Development_and_regulatory_path_for_the_product,Freedom-to-operate_FTO_issues,Historical_cooperation_or_not_of_investigator,Identity_of_the_eventual_product,Impact_of_patent_on_adoption_of_technology,Industrial_startup_co-ownership_of_the_IP,Institution,Licensing_interest_by_a_specific_company,Market_feedback,Nature_of_improvement_over_existing_art,Patentability_questions,Risk_cost_sharing_w_other_institution,Size_of_Market,Stage_of_research,topic1,topic2,topic3,lda_topic,Patents_in_Division,Successful Patents_in_Division,Division_Patent_Success_Rate,Patents_in_Tech,Disclosure_to_Filing,Patent_Status
0,0.6204012414281364,0.9411764705882353,0.041535226077813014,1.0,0.6470588235294118,0.7884615384615385,0.20000000000000004,0.5714285714285714,0.8876404494382022,0.6451612903225807,0.0,0.8918918918918919,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.03507408475262758,0.42964492210529215,0.5488503006801183,1.0,0.9999999999999999,1.0,0.0,0.0,0.16278487352867516,no_fund
1,0.7255686448840484,0.9411764705882353,0.1992639327024186,1.0,0.49019607843137253,0.5192307692307693,0.20000000000000004,0.5714285714285714,0.33146067415730335,0.4408602150537635,0.0,0.8918918918918919,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.03293719813719477,0.04243459712234562,0.9474536522301112,1.0,0.9999999999999999,1.0,0.0,0.0,0.10468319559228649,no_fund
2,0.8009434195253267,0.9411764705882353,0.42245005257623536,1.0,0.1568627450980392,0.8461538461538463,0.20000000000000004,0.5714285714285714,0.9269662921348314,0.2688172043010753,0.0,0.8918918918918919,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7371627584845948,0.17389074748565655,0.10743543833142172,0.0,0.9999999999999999,1.0,0.0,0.0,0.11545204107187577,no_fund
3,0.700081499592502,0.9411764705882353,0.1537854889589907,1.0,0.6470588235294118,0.7884615384615385,0.4,0.5714285714285714,0.8539325842696629,0.07526881720430108,0.0,0.8918918918918919,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.18155084458520993,0.11124694301652274,0.7281311343616096,1.0,0.9999999999999999,1.0,0.0,0.0,0.11532682193839218,no_fund
4,0.8666370304512114,0.9411764705882353,0.6406414300736074,0.5,0.49019607843137253,0.5192307692307693,0.5000000000000001,0.5714285714285714,0.33146067415730335,0.4408602150537635,0.0,0.6486486486486487,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.17927524527492206,0.42193270883299216,0.41230077131882426,0.5,0.9999999999999999,1.0,0.0,0.0,0.13611319809666916,no_fund
5,0.6686671112098985,0.9411764705882353,0.07833859095688744,1.0,0.09803921568627451,0.25,0.5000000000000001,0.5714285714285714,0.8820224719101123,0.07526881720430108,0.0,0.6486486486486487,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7404782712426861,0.26079988432915624,0.0151284080095474,0.0,0.9999999999999999,1.0,0.0,0.0,0.11920861507638367,no_fund
6,0.8733545726210763,0.9411764705882353,0.7250262881177711,0.0,0.058823529411764705,0.34615384615384615,0.1,0.8571428571428571,0.3932584269662921,0.7956989247311829,0.0,0.02702702702702703,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.01854750684742004,0.9544581534406859,0.028051140022642883,0.5,0.9999999999999999,1.0,0.0,0.0,0.167793638868019,fund
7,0.7311007384357018,0.9411764705882353,0.28049421661409024,1.0,0.6470588235294118,0.7884615384615385,0.1,0.5714285714285714,0.6067415730337078,0.05376344086021506,0.0,0.8918918918918919,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8114638786510241,0.19321947685132168,0.013217507580847554,0.0,0.9999999999999999,1.0,0.0,0.0,0.13636363636363635,no_fund
8,0.9918006470573708,0.9411764705882353,0.9426919032597265,0.5,0.6470588235294118,0.7884615384615385,0.0,0.5714285714285714,0.056179775280898875,0.5483870967741936,0.0,0.8918918918918919,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.673683544928625,0.30131726805100245,0.04055096180704812,0.0,0.9999999999999999,1.0,0.0,0.0,0.1213373403456048,fund
9,0.9163270850312415,0.9411764705882353,0.8475289169295479,0.5,0.47058823529411764,0.826923076923077,0.20000000000000004,0.5714285714285714,0.9213483146067416,0.10752688172043012,0.0,0.6486486486486487,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.057228334309856674,0.07810729906932365,0.8865961270763247,1.0,0.9999999999999999,1.0,0.0,0.0,0.17167543200601051,no_fund
