search URL:,https://patents.google.com/?assignee=University+of+Chicago&before=filing:20220517&after=filing:19700101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9415392-B2,Slip chip device and methods ,The University Of Chicago,"Rustem F. Ismagilov, Wenbin Du, Liang Li, Feng Shen, Kevin Paul Flood Nichols, Delai Chen, Jason Eugene Kreutz",2009-03-24,2010-03-23,2016-08-16,2016-08-16,https://patents.google.com/patent/US9415392B2/en,https://patentimages.storage.googleapis.com/7f/a2/7a/fea31221eafc7f/US09415392-20160816-D00000.png
US-9512199-B2,Fibronectin cradle molecules and libraries thereof ,"Novartis Ag, University Of Chicago","Andreas Loew, Brian Edward Vash, Shohei Koide, John Bernard Wojcik, Akiko Koide, Ryan Nicholas Gilbreth",2010-07-30,2011-08-01,2016-12-06,2016-12-06,https://patents.google.com/patent/US9512199B2/en,https://patentimages.storage.googleapis.com/87/b4/b2/b7c841f4b1b641/US09512199-20161206-D00000.png
US-9597658-B2,Metal-organic framework templated synthesis of porous inorganic materials as novel sorbents ,"Savannah River Nuclear Solutions, Llc, University Of North Carolina-Chapel Hill, University Of Chicago","Kathryn M. L. Taylor-Pashow, Wenbin Lin, Carter W. Abney",2013-04-01,2014-04-01,2017-03-21,2017-03-21,https://patents.google.com/patent/US9597658B2/en,https://patentimages.storage.googleapis.com/ec/c4/d5/d6936c0db68fb3/US09597658-20170321-D00001.png
US-7545965-B2,Image modification and detection using massive training artificial neural networks (MTANN) ,The University Of Chicago,"Kenji Suzuki, Kunio Doi",2003-11-10,2003-11-10,2009-06-09,2009-06-09,https://patents.google.com/patent/US7545965B2/en,https://patentimages.storage.googleapis.com/d4/50/a6/67e91a0f6fa0c1/US07545965-20090609-D00000.png
EP-3250611-B1,Car t-cells recognizing cancer-specific il 13r-alpha2 ,"The University of Chicago, Baylor College of Medicine","Irina V. Balyasnikova, Maciej S. Lesniak, Stephen M.G. Gottschalk",2015-01-26,2016-01-26,2021-04-21,2021-04-21,https://patents.google.com/patent/EP3250611B1/en,https://patentimages.storage.googleapis.com/2c/3e/47/f9cc47b36bc5dd/imgf0001.png
US-10121952-B2,Materials and methods for the preparation of nanocomposites ,The University Of Chicago,"Dmitri V. Talapin, Maksym V. Kovalenko, Jong-Soo Lee, Chengyang Jiang",2009-04-23,2016-04-20,2018-11-06,2018-11-06,https://patents.google.com/patent/US10121952B2/en,https://patentimages.storage.googleapis.com/69/ae/b0/c20a77f88f1040/US10121952-20181106-D00001.png
US-2017306386-A1,Yeast screens for treatment of human disease ,The University Of Chicago,"Susan Lindquist, Sylvia Krobitsch, Tiago Fleming Outeiro",2001-02-15,2016-11-08,2017-10-26,,https://patents.google.com/patent/US20170306386A1/en,https://patentimages.storage.googleapis.com/94/08/ba/e43df1edfb0dee/US20170306386A1-20171026-D00001.png
US-8604440-B2,Use of flat panel microchannel photomultipliers in sampling calorimeters with timing ,The University Of Chicago,"Henry Frisch, Jean-Francois Genat, Hervé Grabas, Chien-Min Kao, Chin-Tu Chen, Heejong Kim, Fukun Tang, Jeffrey W. Elam, Anil U. Mane",2010-03-09,2011-03-09,2013-12-10,2013-12-10,https://patents.google.com/patent/US8604440B2/en,https://patentimages.storage.googleapis.com/0d/2f/31/398b2e1dfd0227/US08604440-20131210-D00000.png
US-7205072-B2,Layered cathode materials for lithium ion rechargeable batteries ,The University Of Chicago,"Sun-Ho Kang, Khalil Amine",2002-11-01,2003-10-31,2007-04-17,2007-04-17,https://patents.google.com/patent/US7205072B2/en,https://patentimages.storage.googleapis.com/US7205072B2/US07205072-20070417-D00001.png
US-7265356-B2,Image-guided medical intervention apparatus and method ,The University Of Chicago,"Charles A. Pelizzari, Chin-Tu Chen, Ralph R. Weichselbaum, Samuel Hellman",2004-11-29,2004-11-29,2007-09-04,2007-09-04,https://patents.google.com/patent/US7265356B2/en,https://patentimages.storage.googleapis.com/5d/b3/fa/d5d6204735da92/US07265356-20070904-D00002.png
US-2018028553-A1,Use of sting agonist as cancer treatment ,"The University Of Chicago, Aduro Biotech, Inc.","Thomas F. Gajewski, Seng-ryong Woo, Leticia Corrales, Thomas W. Dubensky, Jr., David Kanne, Meredith Lai Ling Leong, Laura Hix Glickman, Edward Emile Lemmens",2013-11-19,2017-10-13,2018-02-01,,https://patents.google.com/patent/US20180028553A1/en,https://patentimages.storage.googleapis.com/ef/6c/35/d41ce633accba7/US20180028553A1-20180201-D00001.png
EP-2885414-B1,Exosome-based therapeutics against neurodegenerative disorders ,The University of Chicago,"Kae M. PUSIC, Yelena Y. GRINBERG, Richard P. Kraig, Aya D. PUSIC",2012-08-15,2013-08-15,2020-09-23,2020-09-23,https://patents.google.com/patent/EP2885414B1/en,https://patentimages.storage.googleapis.com/02/14/85/79ebca7b157e0d/imgf0001.png
US-2016151388-A1,Methods and Compositions Related to Glucocorticoid Receptor Antagonism and Prostate Cancer ,The University Of Chicago,"Russell Z. Szmulewitz, Suzanne D. Conzen",2012-02-24,2016-02-02,2016-06-02,,https://patents.google.com/patent/US20160151388A1/en,https://patentimages.storage.googleapis.com/5d/6c/49/177fc9e33f272a/US20160151388A1-20160602-D00001.png
US-10600865-B2,Materials and methods for the preparation of nanocomposites ,The University Of Chicago,"Angshuman Nag, Dmitri V. Talapin",2011-05-16,2018-01-29,2020-03-24,2020-03-24,https://patents.google.com/patent/US10600865B2/en,https://patentimages.storage.googleapis.com/6b/b4/e3/1316dbe1e18158/US10600865-20200324-D00000.png
US-2021032582-A1,Method and system for converting electricity into alternative energy resources ,The University Of Chicago,Laurens Mets,2009-07-02,2020-05-14,2021-02-04,,https://patents.google.com/patent/US20210032582A1/en,https://patentimages.storage.googleapis.com/38/85/5f/3735d9d7ed714a/US20210032582A1-20210204-D00001.png
US-10647733-B2,Metal-organic frameworks containing nitrogen-donor ligands for efficient catalytic organic transformations ,The University Of Chicago,"Wenbin Lin, Kuntal Manna, Teng ZHANG",2014-03-28,2015-03-30,2020-05-12,2020-05-12,https://patents.google.com/patent/US10647733B2/en,https://patentimages.storage.googleapis.com/a0/b2/b7/4e8afa09c69a78/US10647733-20200512-D00001.png
US-10803347-B2,Image transformation with a hybrid autoencoder and generative adversarial network machine learning architecture ,The University Of Chicago,Jason Salavon,2017-12-01,2018-11-30,2020-10-13,2020-10-13,https://patents.google.com/patent/US10803347B2/en,https://patentimages.storage.googleapis.com/73/45/b3/c41f99dd5b175b/US10803347-20201013-D00000.png
US-9549946-B2,Materials and methods for preventing and treating microbe-mediated epithelial disorders ,The University Of Chicago,John C. Alverdy,2002-11-26,2015-11-09,2017-01-24,2017-01-24,https://patents.google.com/patent/US9549946B2/en,https://patentimages.storage.googleapis.com/ff/f3/3a/7e59b7a218d5d2/US09549946-20170124-D00001.png
US-2021115477-A1,System for the production of methane from co2 ,The University Of Chicago,Laurens Mets,2006-06-13,2020-12-09,2021-04-22,,https://patents.google.com/patent/US20210115477A1/en,https://patentimages.storage.googleapis.com/24/80/4c/a0582cc6cbd2fd/US20210115477A1-20210422-D00001.png
US-9332953-B2,Supervised machine learning technique for reduction of radiation dose in computed tomography imaging ,The University Of Chicago,Kenji Suzuki,2012-08-31,2013-08-30,2016-05-10,2016-05-10,https://patents.google.com/patent/US9332953B2/en,https://patentimages.storage.googleapis.com/fb/56/f4/404d9e81d552d6/US09332953-20160510-D00000.png
US-10047149-B2,Compositions and methods related to antibodies to Staphylococcal protein A ,The University Of Chicago,"Olaf Schneewind, Dominique M. Missiakas, Hwan Keun Kim, Carla Emolo, Andrea DeDent",2011-08-15,2016-12-13,2018-08-14,2018-08-14,https://patents.google.com/patent/US10047149B2/en,https://patentimages.storage.googleapis.com/7f/b4/68/0a7a27e72d83ab/US10047149-20180814-D00001.png
US-10953393-B2,Stabilization of active metal catalysts at metal-organic framework nodes for highly efficient organic transformations ,The University Of Chicago,"Wenbin Lin, Kuntal Manna, PengFei JI",2015-10-12,2016-10-12,2021-03-23,2021-03-23,https://patents.google.com/patent/US10953393B2/en,https://patentimages.storage.googleapis.com/e6/3d/2f/7670b6ac3bb6e5/US10953393-20210323-D00001.png
US-10967060-B2,Synergistic combination of immunologic inhibitors for the treatment of cancer ,The University Of Chicago,"Thomas F. Gajewski, Stefani Spranger, Michael Leung",2012-10-26,2018-07-10,2021-04-06,2021-04-06,https://patents.google.com/patent/US10967060B2/en,https://patentimages.storage.googleapis.com/88/6e/03/4f2c96a2c73d43/US10967060-20210406-D00001.png
US-10507188-B2,Particles containing an opioid receptor antagonist and methods of use ,The University Of Chicago,Chun-Su Yuan,2008-07-01,2017-12-07,2019-12-17,2019-12-17,https://patents.google.com/patent/US10507188B2/en,https://patentimages.storage.googleapis.com/18/c6/b6/6135a66de16cdb/US10507188-20191217-D00001.png
US-10780045-B2,"Nanoparticles for photodynamic therapy, X-ray induced photodynamic therapy, radiotherapy, chemotherapy, immunotherapy, and any combination thereof ",The University Of Chicago,"Wenbin Lin, Chunbai He, Kuangda LU",2014-10-14,2018-12-28,2020-09-22,2020-09-22,https://patents.google.com/patent/US10780045B2/en,https://patentimages.storage.googleapis.com/b3/bd/1f/aaf9bf6736fa14/US10780045-20200922-D00001.png
US-10815531-B2,Methods and compositions related to T-cell activity ,The University Of Chicago,"Yan Zheng, Yuanyuan ZHA, Robbert M. Spaapen, Thomas F. Gajewski",2013-03-15,2018-03-27,2020-10-27,2020-10-27,https://patents.google.com/patent/US10815531B2/en,https://patentimages.storage.googleapis.com/15/95/31/54246006de7578/US10815531-20201027-D00001.png
US-2017258909-A1,Use of opioid antagonists to attenuate endothelial cell proliferation and migration ,The University Of Chicago,"Jonathan Moss, Mark Lingen, Patrick A. Singleton, Joe G.N. Garcia",2005-03-07,2017-05-17,2017-09-14,,https://patents.google.com/patent/US20170258909A1/en,https://patentimages.storage.googleapis.com/54/78/c5/52f5b0a3fea67e/US20170258909A1-20170914-D00000.png
US-10532358-B2,Device and method for pressure-driven plug transport and reaction ,The University Of Chicago,"Rustem F. Ismagilov, Joshua David Tice, Cory John Gerdts, Bo Zheng",2002-05-09,2018-08-20,2020-01-14,2020-01-14,https://patents.google.com/patent/US10532358B2/en,https://patentimages.storage.googleapis.com/50/cb/6e/538a3f5530be5d/US10532358-20200114-D00000.png
US-9675602-B2,Use of opioid antagonists to attenuate endothelial cell proliferation and migration ,The University Of Chicago,"Jonathan Moss, Mark Lingen, Patrick A. Singleton, Joe G. N. Garcia, Chun-Su Yuan",2005-03-07,2013-08-21,2017-06-13,2017-06-13,https://patents.google.com/patent/US9675602B2/en,https://patentimages.storage.googleapis.com/eb/be/84/b28b518009a73e/US09675602-20170613-D00001.png
US-9222936-B2,Methods and/or use of oligonucleotide conjugates for suppressing background due to cross-hybridization ,"Solulink, Inc., The University Of Chicago","David A. Schwartz, Jimmy Williams, Xinfang Zhao, Stephen J. Kron, Amy Catherine Flor",2007-04-18,2013-05-20,2015-12-29,2015-12-29,https://patents.google.com/patent/US9222936B2/en,https://patentimages.storage.googleapis.com/06/88/64/65ce22927f2928/US09222936-20151229-D00001.png
US-9198914-B2,Methods and compositions for modulating RAD51 and homologous recombination ,The University Of Chicago,"Philip P. Connell, Douglas K. Bishop, Ralph R. Weichselbaum",2007-07-28,2013-11-07,2015-12-01,2015-12-01,https://patents.google.com/patent/US9198914B2/en,https://patentimages.storage.googleapis.com/63/75/06/3280ad9748e506/US09198914-20151201-D00001.png
US-11246877-B2,"Nanoparticles for chemotherapy, targeted therapy, photodynamic therapy, immunotherapy, and any combination thereof ",The University Of Chicago,"Wenbin Lin, Xiaopin Duan, Christina Chan, Wenbo Han",2016-05-20,2017-05-22,2022-02-15,2022-02-15,https://patents.google.com/patent/US11246877B2/en,https://patentimages.storage.googleapis.com/6d/c2/ff/2f5c0b4060fe09/US11246877-20220215-D00000.png
US-10421971-B2,Anti-tumor therapy ,The University Of Chicago,"Liufu Deng, Yang-Xin Fu, Nikolai Khodarev, Ralph Weichselbaum",2014-01-15,2014-10-24,2019-09-24,2019-09-24,https://patents.google.com/patent/US10421971B2/en,https://patentimages.storage.googleapis.com/4b/c5/83/2fc3ec0e80675f/US10421971-20190924-D00001.png
US-9120230-B2,Gripping and releasing apparatus and method ,Cornell University,"Hod Lipson, John R. Amend, JR., Heinrich Jaeger, Eric Brown",2010-04-15,2014-10-20,2015-09-01,2015-09-01,https://patents.google.com/patent/US9120230B2/en,https://patentimages.storage.googleapis.com/c3/ef/ac/2003be71d7f970/US09120230-20150901-D00000.png
US-6754380-B1,Method of training massive training artificial neural networks (MTANN) for the detection of abnormalities in medical images ,The University Of Chicago,"Kenji Suzuki, Kunio Doi",2003-02-14,2003-02-14,2004-06-22,2004-06-22,https://patents.google.com/patent/US6754380B1/en,https://patentimages.storage.googleapis.com/93/c7/52/b2417d99a746dd/US06754380-20040622-D00000.png
US-9090885-B2,Co-incubating confined microbial communities ,The University Of Chicago,"James Q. Boedicker, Rustem F. Ismagilov, Hyun Jung Kim",2007-07-26,2008-07-28,2015-07-28,2015-07-28,https://patents.google.com/patent/US9090885B2/en,https://patentimages.storage.googleapis.com/f2/69/f5/c69ec8e2cd9ee0/US09090885-20150728-D00001.png
US-8945588-B2,"Methods and compositions involving protective staphylococcal antigens, such as EBH polypeptides ",The University Of Chicago,"Olaf Schneewind, Alice G. Cheng, Dominique M. Missiakas, Hwan Keun Kim",2011-05-06,2012-05-07,2015-02-03,2015-02-03,https://patents.google.com/patent/US8945588B2/en,https://patentimages.storage.googleapis.com/09/00/41/e0a7734be44a2e/US08945588-20150203-D00001.png
US-2016362734-A1,"Analysis devices, kits, and related methods for digital quantification of nucleic acids and other analytes ","California Institute Of Technology, University Of Chicago","Rustem F. Ismagilov, Feng Shen, Jason E. Kreutz, Bing Sun, Wenbin Du",2009-03-24,2016-08-25,2016-12-15,,https://patents.google.com/patent/US20160362734A1/en,https://patentimages.storage.googleapis.com/5d/bd/e7/0fe89a36af77d4/US20160362734A1-20161215-D00001.png
US-9493826-B2,"Multivolume devices, kits and related methods for quantification and detection of nucleic acids and other analytes ","California Institute Of Technology, University Of Chicago","Rustem F. Ismagilov, Feng Shen, Jason E. Kreutz, Wenbin Du, Bing Sun",2009-03-24,2014-02-10,2016-11-15,2016-11-15,https://patents.google.com/patent/US9493826B2/en,https://patentimages.storage.googleapis.com/21/70/b1/9a4a5cb6649801/US09493826-20161115-D00000.png
US-7394923-B2,Imaging system for generating a substantially exact reconstruction of a region of interest ,The University Of Chicago,"Yu Zou, Xiaochuan M. Pan",2004-02-10,2005-02-10,2008-07-01,2008-07-01,https://patents.google.com/patent/US7394923B2/en,
US-7132240-B2,Use of methylated nucleic acid segments for isolating centromere DNA ,The University Of Chicago,"Song Luo, Gregory Copenhaver, Kevin Keith, Daphne Preuss",2000-06-23,2003-07-16,2006-11-07,2006-11-07,https://patents.google.com/patent/US7132240B2/en,
US-7655470-B2,Method for manipulating a plurality of plugs and performing reactions therein in microfluidic systems ,University Of Chicago,"Rustem F. Ismagilov, Bo Zheng, Cory J. Gerdts",2004-10-29,2005-03-16,2010-02-02,2010-02-02,https://patents.google.com/patent/US7655470B2/en,https://patentimages.storage.googleapis.com/US7655470B2/US07655470-20100202-D00000.png
US-9486651-B2,MRI-guided HIFU marking to guide radiotherapy and other procedures ,"Koninklijke Philips N.V., The University Of Chicago","Gregory Karczmar, Shunmugavelu Sokka, Charles A. Pelizzari",2007-03-30,2008-03-07,2016-11-08,2016-11-08,https://patents.google.com/patent/US9486651B2/en,https://patentimages.storage.googleapis.com/30/82/80/bd95e13938ec61/US09486651-20161108-D00000.png
US-7599069-B2,Vector beam generator using a passively phase stable optical interferometer ,The University Of Chicago,"Kimani C. Toussaint, Jr., Norbert F. Scherer, Justin E. Jureller, Sungnam Park",2005-05-06,2006-05-05,2009-10-06,2009-10-06,https://patents.google.com/patent/US7599069B2/en,https://patentimages.storage.googleapis.com/US7599069B2/US07599069-20091006-D00000.png
US-8622987-B2,"Chemistrode, a plug-based microfluidic device and method for stimulation and sampling with high temporal, spatial, and chemical resolution ",The University Of Chicago,"Rustem F. Ismagilov, Delai Chen, Weishan Liu, Wenbin Du",2008-06-04,2009-06-04,2014-01-07,2014-01-07,https://patents.google.com/patent/US8622987B2/en,https://patentimages.storage.googleapis.com/3b/e3/00/994231844c0bcb/US08622987-20140107-D00000.png
US-9687502-B2,Methods and compositions for treating mammalian nerve tissue injuries ,"The University Of Chicago, Purdue Research Foundation","Riyi Shi, Richard B. Borgens, Raphael C. Lee",2001-04-24,2004-07-28,2017-06-27,2017-06-27,https://patents.google.com/patent/US9687502B2/en,https://patentimages.storage.googleapis.com/2c/15/36/a50f597ebdcb80/US09687502-20170627-D00001.png
EP-1807888-B1,Manganese oxide composite electrodes for lithium batteries ,The University of Chicago,"Michael M. Thackeray, Christopher S. Johnson, Naichao Li",2004-09-03,2004-11-17,2017-02-15,2017-02-15,https://patents.google.com/patent/EP1807888B1/en,https://patentimages.storage.googleapis.com/72/15/e3/d4e26034a7c0c4/imgf0001.png
US-6995351-B2,Multiple optical vortices for manipulating particles ,The University Of Chicago,"Jennifer E. Curtis, Brian A. Koss, David G. Grier",2002-01-16,2005-02-17,2006-02-07,2006-02-07,https://patents.google.com/patent/US6995351B2/en,
US-6916570-B2,Oxygen ion conducting materials ,The University Of Chicago,"John Vaughey, Michael Krumpelt, Xiaoping Wang, J. David Carter",1999-06-28,2004-07-27,2005-07-12,2005-07-12,https://patents.google.com/patent/US6916570B2/en,https://patentimages.storage.googleapis.com/43/53/e0/8a1dbcd8781904/US06916570-20050712-D00001.png
US-8772456-B2,Fibrous protein fusion and use thereof in the formation of advanced organic/inorganic composite materials ,Trustees Of Tufts College,"David L. Kaplan, Jia Huang, Cheryl Wong Po Foo, Rajesh Naik, Anne George",2005-01-14,2013-07-03,2014-07-08,2014-07-08,https://patents.google.com/patent/US8772456B2/en,https://patentimages.storage.googleapis.com/86/25/f4/a01abd48ddf792/US08772456-20140708-D00001.png
US-9208556-B2,"Method, system, software and medium for advanced intelligent image analysis and display of medical images and information ","Quantitative Insights, Inc.","Maryellen L. Giger, Robert Tomek, Jeremy Bancroft Brown, Andrew Robert Jamieson, Li Lan, Michael R. Chinander, Karen Drukker, Hui Li, Neha Bhooshan, Gillian Newstead",2010-11-26,2011-11-28,2015-12-08,2015-12-08,https://patents.google.com/patent/US9208556B2/en,https://patentimages.storage.googleapis.com/18/a1/b3/d29f5340bf6694/US09208556-20151208-D00000.png
US-2017261949-A1,Apparatus and method for optimizing quantifiable behavior in configurable devices and systems ,University Of Chicago,"Henry HOFFMANN, John Lafferty, Nikita MISHRA",2016-03-11,2017-03-13,2017-09-14,,https://patents.google.com/patent/US20170261949A1/en,https://patentimages.storage.googleapis.com/c0/b5/c9/6b997ddbc026ad/US20170261949A1-20170914-D00000.png
CN-102149750-B,Semiconducting polymers ,芝加哥大学,"俞陆平, 梁永晔",2008-07-18,2009-05-18,2014-04-23,2014-04-23,https://patents.google.com/patent/CN102149750B/en,
AU-2015200932-B2,Methods and compositions related to immunizing against staphylococcal lung diseases and conditions ,University Of Chicago,"Juliane Bubeck-Wardenburg, Brook Ragle, Olaf Schneewind",2007-08-31,2015-02-24,2017-03-02,2017-03-02,https://patents.google.com/patent/AU2015200932B2/en,
US-7990524-B2,Stochastic scanning apparatus using multiphoton multifocal source ,The University Of Chicago,"Justin E. Jureller, Hee Y. Kim, Norbert F. Scherer",2006-06-30,2007-06-29,2011-08-02,2011-08-02,https://patents.google.com/patent/US7990524B2/en,https://patentimages.storage.googleapis.com/06/a3/33/3a58654ce4e0c8/US07990524-20110802-D00000.png
US-7968231-B2,Electrode materials and lithium battery systems ,"U Chicago Argonne, Llc","Khalil Amine, Ilias Belharouak, Jun Liu",2005-12-23,2006-05-31,2011-06-28,2011-06-28,https://patents.google.com/patent/US7968231B2/en,https://patentimages.storage.googleapis.com/47/ab/56/83949757713579/US07968231-20110628-D00000.png
US-7444011-B2,Imaging system performing substantially exact reconstruction and using non-traditional trajectories ,University Of Chicago,"Xiaochuan Pan, Yu Zou, Lifeng Yu, Chien-Min Kao, Martin King, Maryellen Giger, Dan Xia, Howard Halpern, Charles Pelizzari, Emil Y. Sidky, Seungryong Cho",2004-02-10,2006-04-24,2008-10-28,2008-10-28,https://patents.google.com/patent/US7444011B2/en,https://patentimages.storage.googleapis.com/c0/b8/ed/beb0dcdc717035/US07444011-20081028-D00010.png
US-6937776-B2,"Method, system, and computer program product for computer-aided detection of nodules with three dimensional shape enhancement filters ",University Of Chicago,"Qiang Li, Kunio Doi",2003-01-31,2003-01-31,2005-08-30,2005-08-30,https://patents.google.com/patent/US6937776B2/en,https://patentimages.storage.googleapis.com/20/ce/8e/f7ff63eed79e57/US06937776-20050830-D00000.png
US-7435402-B2,Method and apparatus for preparation of spherical metal carbonates and lithium metal oxides for lithium rechargeable batteries ,U Chicago Argonne Llc,"Sun-Ho Kang, Khalil Amine",2002-11-01,2004-07-30,2008-10-14,2008-10-14,https://patents.google.com/patent/US7435402B2/en,https://patentimages.storage.googleapis.com/US7435402B2/US07435402-20081014-D00001.png
US-7851092-B2,Redox shuttles for overcharge protection of lithium batteries ,U Chicago Argonne Llc,"Khalil Amine, Zonghai Chen, Qingzheng Wang",2005-03-02,2006-03-01,2010-12-14,2010-12-14,https://patents.google.com/patent/US7851092B2/en,https://patentimages.storage.googleapis.com/34/83/98/1c52c601c51d13/US07851092-20101214-D00000.png
